id,zipCode,location.lat,location.lon,status,availability.bikes,availability.slots,slots_proportion,bikes_proportion
55,06700,19.434356,-99.138064,OPN,10,3,0.23076923076923078,0.7692307692307692
124,06500,19.422392,-99.150358,OPN,1,35,0.9722222222222222,0.02777777777777779
159,06760,19.407517,-99.155373,OPN,1,35,0.9722222222222222,0.02777777777777779
241,11520,19.43862,-99.20758,OPN,2,22,0.9166666666666666,0.08333333333333337
243,11510,19.440839,-99.196712,OPN,5,22,0.8148148148148148,0.18518518518518523
350,3710,19.384062,-99.181482,OPN,1,29,0.9666666666666667,0.033333333333333326
445,3340,19.35827,-99.156105,OPN,12,11,0.4782608695652174,0.5217391304347826
463,11529,19.442338,-99.202492,OPN,5,19,0.7916666666666666,0.20833333333333337
469,11300,19.434183,-99.173089,OPN,2,20,0.9090909090909091,0.09090909090909094
470,11300,19.435039,-99.173879,OPN,4,20,0.8333333333333334,0.16666666666666663
471,11300,19.436287,-99.174888,OPN,4,20,0.8333333333333334,0.16666666666666663
472,11300,19.437667,-99.17711,OPN,2,20,0.9090909090909091,0.09090909090909094
473,11300,19.438143,-99.17519,OPN,4,30,0.8823529411764706,0.11764705882352944
452,11590,19.435031,-99.179838,OPN,9,8,0.47058823529411764,0.5294117647058824
246,11510,19.434147,-99.179835,OPN,7,8,0.5333333333333333,0.4666666666666667
247,11510,19.432276,-99.18064,OPN,5,19,0.7916666666666666,0.20833333333333337
248,11510,19.43175,-99.177399,OPN,12,13,0.52,0.48
249,11510,19.429877,-99.177569,OPN,9,9,0.5,0.5
250,11510,19.429057,-99.17966,OPN,24,1,0.04,0.96
251,11510,19.429261,-99.17538,OPN,2,16,0.8888888888888888,0.11111111111111116
252,11510,19.427575,-99.17702,OPN,6,12,0.6666666666666666,0.33333333333333337
253,11510,19.425835,-99.177924,OPN,3,18,0.8571428571428571,0.1428571428571429
433,3104,19.363558,-99.170819,OPN,2,17,0.8947368421052632,0.10526315789473684
434,3104,19.363741,-99.171268,OPN,1,23,0.9583333333333334,0.04166666666666663
423,3240,19.367631,-99.175342,OPN,3,20,0.8695652173913043,0.13043478260869568
436,3240,19.366217,-99.177819,OPN,1,26,0.9629629629629629,0.03703703703703709
437,3240,19.36480833,-99.17602222,OPN,1,20,0.9523809523809523,0.04761904761904767
438,3240,19.36479722,-99.17458333,OPN,0,20,1.0,0.0
439,3240,19.36218889,-99.17246667,OPN,5,13,0.7222222222222222,0.2777777777777778
420,3230,19.369723,-99.17964,OPN,6,21,0.7777777777777778,0.2222222222222222
421,3230,19.369467,-99.179401,OPN,8,21,0.7241379310344828,0.27586206896551724
422,3230,19.368356,-99.177487,OPN,4,16,0.8,0.19999999999999996
416,3104,19.371308,-99.177607,OPN,0,27,1.0,0.0
479,11310,19.444433,-99.179664,OPN,0,24,1.0,0.0
480,11310,19.446073,-99.181654,OPN,5,15,0.75,0.25
464,11529,19.442421,-99.199838,OPN,2,14,0.875,0.125
333,3810,19.387624,-99.180978,OPN,3,17,0.85,0.15000000000000002
349,3840,19.385688,-99.180857,OPN,3,18,0.8571428571428571,0.1428571428571429
326,3840,19.388978,-99.174811,OPN,7,21,0.75,0.25
466,11310,19.44269,-99.19083,OPN,1,25,0.9615384615384616,0.038461538461538436
474,11320,19.438984,-99.177549,OPN,22,10,0.3125,0.6875
475,11320,19.439249,-99.181065,OPN,5,19,0.7916666666666666,0.20833333333333337
477,11320,19.440905,-99.181743,OPN,0,24,1.0,0.0
478,11320,19.440818,-99.176961,OPN,1,26,0.9629629629629629,0.03703703703703709
468,11320,19.4366022,-99.1796833,OPN,10,23,0.696969696969697,0.303030303030303
264,06350,19.440985,-99.152935,OPN,3,31,0.9117647058823529,0.08823529411764708
265,06350,19.440839,-99.152265,OPN,5,30,0.8571428571428571,0.1428571428571429
266,06350,19.444031,-99.152187,OPN,7,28,0.8,0.19999999999999996
267,06350,19.443735,-99.152203,OPN,0,33,1.0,0.0
268,06350,19.442467,-99.151658,OPN,17,16,0.48484848484848486,0.5151515151515151
269,06350,19.442448,-99.151586,OPN,0,4,1.0,0.0
271,06350,19.443928,-99.152525,OPN,5,30,0.8571428571428571,0.1428571428571429
272,06350,19.443556,-99.152556,OPN,2,34,0.9444444444444444,0.05555555555555558
273,06350,19.442707,-99.152956,OPN,2,33,0.9428571428571428,0.05714285714285716
274,06350,19.442772,-99.153289,OPN,5,30,0.8571428571428571,0.1428571428571429
275,06350,19.441062,-99.153164,OPN,3,32,0.9142857142857143,0.08571428571428574
176,06350,19.442689,-99.152286,OPN,0,30,1.0,0.0
347,3710,19.384378,-99.176097,OPN,6,21,0.7777777777777778,0.2222222222222222
353,3710,19.382168,-99.178808,OPN,0,27,1.0,0.0
362,3710,19.382207,-99.181043,OPN,0,20,1.0,0.0
363,3710,19.380813,-99.183851,OPN,5,16,0.7619047619047619,0.23809523809523814
260,06000,19.435354,-99.147742,OPN,8,12,0.6,0.4
262,06000,19.43693,-99.13395,OPN,6,24,0.8,0.19999999999999996
87,06000,19.43182,-99.13974,OPN,20,4,0.16666666666666666,0.8333333333333334
89,,19.434946,-99.133989,OPN,9,2,0.18181818181818182,0.8181818181818181
90,06000,19.431698,-99.132446,OPN,15,12,0.4444444444444444,0.5555555555555556
91,06500,19.4374,-99.137571,OPN,8,11,0.5789473684210527,0.42105263157894735
92,06500,19.436531,-99.131497,OPN,5,16,0.7619047619047619,0.23809523809523814
93,06500,19.436741,-99.134811,OPN,4,30,0.8823529411764706,0.11764705882352944
94,06000,19.433766,-99.130918,OPN,10,13,0.5652173913043478,0.4347826086956522
95,06500,19.430722,-99.133698,OPN,14,2,0.125,0.875
96,06500,19.430625,-99.14248,OPN,9,22,0.7096774193548387,0.29032258064516125
97,06500,19.429189,-99.132759,OPN,9,17,0.6538461538461539,0.34615384615384615
98,06500,19.430267,-99.14861,OPN,9,25,0.7352941176470589,0.2647058823529411
99,06000,19.42995,-99.14591,OPN,15,15,0.5,0.5
100,06500,19.428485,-99.1338,OPN,20,4,0.16666666666666666,0.8333333333333334
102,06000,19.42821,-99.13949,OPN,11,3,0.21428571428571427,0.7857142857142857
104,06500,19.427059,-99.137116,OPN,11,2,0.15384615384615385,0.8461538461538461
105,06500,19.426755,-99.135014,OPN,15,8,0.34782608695652173,0.6521739130434783
106,06500,19.42649,-99.133537,OPN,0,26,1.0,0.0
107,06500,19.427329,-99.149971,OPN,3,32,0.9142857142857143,0.08571428571428574
108,06500,19.427305,-99.149533,OPN,1,23,0.9583333333333334,0.04166666666666663
109,06500,19.425311,-99.137421,OPN,10,2,0.16666666666666666,0.8333333333333334
52,06140,19.436236,-99.142039,OPN,11,8,0.42105263157894735,0.5789473684210527
43,06700,19.435228,-99.146063,OPN,15,15,0.5,0.5
48,06700,19.433686,-99.146557,OPN,12,0,0.0,1.0
65,06170,19.436142,-99.139906,OPN,3,15,0.8333333333333334,0.16666666666666663
