id,prediction,location.lat,location.lon
1.0,1,19.4335714,-99.1678091
4.0,2,19.428309,-99.171713
8.0,6,19.431141,-99.158317
9.0,15,19.428009,-99.169918
10.0,22,19.433321,-99.154752
11.0,9,19.430992,-99.163593
13.0,6,19.42502,-99.17231
14.0,17,19.424768,-99.173261
15.0,1,19.425477,-99.171567
17.0,19,19.427501,-99.167125
18.0,15,19.42888,-99.164176
20.0,3,19.430964,-99.160206
21.0,8,19.42472,-99.17206
23.0,12,19.42517,-99.17105
24.0,8,19.42647,-99.16822
26.0,11,19.432685,-99.154726
27.0,11,19.429115,-99.162614
28.0,7,19.423542,-99.172494
34.0,9,19.424725,-99.163331
36.0,6,19.419725,-99.175778
38.0,2,19.420801,-99.171407
39.0,5,19.421759,-99.16694
41.0,10,19.435637,-99.150137
45.0,6,19.418649,-99.172127
47.0,2,19.419515,-99.166299
50.0,2,19.416938,-99.173648
51.0,5,19.417995,-99.168248
52.0,9,19.436236,-99.142039
55.0,9,19.434356,-99.138064
61.0,0,19.413742,-99.169525
62.0,9,19.413322,-99.175202
63.0,6,19.413681,-99.171531
68.0,9,19.411556,-99.17406
69.0,10,19.410733,-99.168111
73.0,3,19.410245,-99.175612
75.0,1,19.408722,-99.17669
77.0,0,19.406765,-99.178321
80.0,1,19.407307,-99.172118
84.0,1,19.40702,-99.169587
85.0,1,19.43425,-99.162508
87.0,9,19.43182,-99.13974
90.0,9,19.431698,-99.132446
95.0,11,19.430722,-99.133698
96.0,2,19.430625,-99.14248
98.0,8,19.430267,-99.14861
103.0,0,19.441669,-99.165217
104.0,9,19.427059,-99.137116
107.0,0,19.427329,-99.149971
117.0,26,19.427132,-99.160369
121.0,10,19.424137,-99.161317
129.0,9,19.4206,-99.163312
133.0,27,19.421138,-99.154725
136.0,2,19.417715,-99.162729
141.0,19,19.415905,-99.15954
142.0,3,19.413232,-99.164121
145.0,8,19.41286,-99.160661
158.0,3,19.407447,-99.155717
168.0,7,19.403997,-99.1776
169.0,18,19.403019,-99.174934
170.0,0,19.404029,-99.184342
171.0,0,19.402584,-99.178199
174.0,1,19.44111,-99.16164
176.0,0,19.442689,-99.152286
182.0,0,19.402089,-99.17139
183.0,2,19.43767,-99.16402
186.0,0,19.4124291,-99.1885117
187.0,2,19.41123,-99.18551
191.0,1,19.4079,-99.18795
194.0,2,19.424282,-99.180334
197.0,0,19.440077,-99.204316
198.0,1,19.438168,-99.203888
201.0,2,19.437431,-99.187215
202.0,4,19.4362368,-99.1988982
203.0,1,19.435985,-99.194832
205.0,5,19.435525,-99.184713
206.0,11,19.435798,-99.201419
208.0,3,19.434182,-99.189835
209.0,8,19.435478,-99.206359
210.0,0,19.434076,-99.194091
211.0,1,19.433607,-99.188528
215.0,2,19.43384,-99.19968
217.0,10,19.432888,-99.183605
219.0,9,19.433542,-99.207808
221.0,0,19.431799,-99.201565
223.0,1,19.431242,-99.191613
224.0,2,19.431255,-99.188065
225.0,6,19.431172,-99.185612
227.0,2,19.431791,-99.207373
230.0,1,19.430098,-99.200074
232.0,2,19.42894,-99.185389
233.0,0,19.429314,-99.196965
235.0,4,19.42933,-99.20218
236.0,1,19.42944,-99.20243
237.0,1,19.426744,-99.193986
238.0,3,19.426765,-99.193752
239.0,13,19.430153,-99.181355
240.0,2,19.43855,-99.2063
242.0,10,19.440344,-99.20105
244.0,6,19.440885,-99.193315
245.0,2,19.43819,-99.19048
246.0,10,19.434147,-99.179835
248.0,5,19.43175,-99.177399
249.0,3,19.429877,-99.177569
250.0,8,19.429057,-99.17966
251.0,2,19.429261,-99.17538
252.0,3,19.427575,-99.17702
253.0,2,19.425835,-99.177924
266.0,1,19.444031,-99.152187
267.0,0,19.443735,-99.152203
269.0,0,19.442448,-99.151586
270.0,9,19.43676,-99.15387
271.0,2,19.443928,-99.152525
272.0,0,19.443556,-99.152556
273.0,0,19.442707,-99.152956
274.0,1,19.442772,-99.153289
451.0,0,19.42902,-99.201322
452.0,3,19.435031,-99.179838
453.0,1,19.424842,-99.203739
455.0,1,19.426308,-99.203302
458.0,4,19.428679,-99.206605
462.0,3,19.442338,-99.205198
463.0,4,19.442338,-99.202492
470.0,1,19.435039,-99.173879
471.0,2,19.436287,-99.174888
474.0,5,19.438984,-99.177549
476.0,0,19.442127,-99.184433
478.0,2,19.440818,-99.176961
480.0,2,19.446073,-99.181654
